#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [4,e2,5,39/45]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Oooh, regardez !
     1	= Bienvenue sur l'Ile Delfino,\n
	+ le paradis tropical où le soleil\n
	+ brille sans interruption !
     2	= Nous sommes très heureux de\n
	+ vous accueillir chez nous !\n
     3	= 
     4	= Venez profiter de notre pays \n
	+ merveilleux. Vous y trouverez
     5	= les meilleurs établissements hôteliers,\n
	+ un parc d'attractions spectaculaire,
     6	= et des fruits de mer succulents !
     7	= Tout ceci et bien plus encore\n
	+ vous attend sur l'Ile Delfino !
     8	= Venez vous relaxer et laissez-nous\n
	+ vous requinquer le corps et l'esprit !
     9	= 
     a	= Mario... ?!
     b	= Cette... cette ombre... ?
     c	= Papy Champi, avez-vous vu... ?

