Erto Rock              Monte Erto            
Lighthouse Island      Isla Farol    
Warship Island         Playa del Belonave
Hotel Lacrima          Hotel Lacrima        
Lancia Fredda Peaks    Collina Lancia Fredda
Pianta Pit             Barranco de Palma    
Daisy Cruiser          Daisy's Dampfer    
Mario's Dream          Sonho de Mario    
Yoshi Village          Plaza della Yoshi    
Red Lily City          Cittá Rosso Lirio
Peach Beach            Peach Beach        
Vaporwave              Caligine Estetica
Casino Game Table      Arriesgar la Mesa    
Ricco Station          Tappa D'Oro     
Delfino Express        Espresso Delfino   
Tutorial               Tutorial    
Bollente Crypt          ---
Arido Trail             ---
Arcobaleno Cove         ---
Sonnolento Grove        ---
Rugivosa Marsh          ---
Giovane Creek           ---
Marea Reef              ---
