#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [4,e2,5,39/45]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Ehi, guardate!
     1	= Benvenuti all'Isola Delfina, un\n
	+ paradiso di spiagge e scogliere\n
	+ baciate dal sole tropicale.
     2	= Siamo onorati di darvi il\n
	+ benvenuto nella nostra\n
	+ splendida isola!
     3	= 
     4	= Scoprirete una terra\n
	+ di straordinaria bellezza,
     5	= con strutture turistiche all'avanguardia\n
	+ e un formidabile parco dei divertimenti,
     6	= oltre ad una prelibatissima\n
	+ cucina a base di pesce.
     7	= L'Isola Delfina è tutto \n
	+ questo... e molto di più!
     8	= Isola Delfina: per ristorare\n
	+ il corpo e lo spirito!
     9	= 
     a	= Mario...?!
     b	= Quell'ombra...
     c	= Mastro Toad, hai visto?

