#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/c]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Sei arrivato.\n
	+ \n
	+ \n
	+ Sembra che alcune\n
	+ paure persistenti si\n
	+ siano... infiltrate\n
	+ dentro al tuo sogno\n
	+ in forma di palloncino.\n
	+ \n
	+ \z{700,a00}Strano.\z{700,0}\n
	+ \n
	+ \n
	+ Scoppiane \z{7ff,400}20/30\z{7ff,0} prima di\n
	+ svegliarti o questo posto\n
	+ potrà divenire un \z{7ff,200}incubo!\z{7ff,0}\n
	+ Rimarrò qui se \n
	+ ti serve aiuto.
     1	= Se hai problemi a \n
	+ mirare, prova a premere\n
	+ leggermente > ...\n
	+ prima di spruzzare per \n
	+ sparare i missili \n
	+ con più precisione!
     2	= Fantastico, Mario! Ora\n
	+ puoi continuare a\n
	+ sonnecchiare piacevolmente.\n
	+ Magari, quando ti\n
	+ sveglierai, mi racconterai\n
	+ tutto sulle tue avventure...
     3	= Sembra che questa\n
	+ melma provenga da qualche\n
	+ parte qui sotto.\n
	+ E' molto scivolosa,\n
	+ cerca di non scivolare.
     4	= We came all this\n
	+ way, and now look!\n
	+ Everything's spoiled!\n
	+ Oh...this is the worst.\n
	+ Mario! Please go\n
	+ get some help!
     5	= That goop looks\n
	+ dangerous! I wouldn't\n
	+ touch it, Mario.\n
	+ If you get some on\n
	+ you, get in the water\n
	+ or do a Spin Jump!\n
	+ Quickly move the\n
	+ Control Stick in a\n
	+ circle and jump!
     6	= Non preoccuparti, Mario!\n
	+ Sorveglieremo noi\n
	+ la principessa.\n
	+ Per favore vai\n
	+ a cercare aiuto!
     7	= Aiuto? Aiutare te?\n
	+ Sei pazzo? Siamo noi\n
	+ ad avere bisono d'aiuto!\n
	+ Prendi quella pompa\n
	+ d'acqua e pulisci\n
	+ la pista, tu...tu!
     8	= C'è una differenza\n
	+ tra il giusto e lo\n
	+ sbagliato, sai...
     9	= Huh? Have we met\n
	+ somewhere before?\n
	+ \n
	+ I feel like I've seen\n
	+ you somewhere...and\n
	+ recently, too.
     a	= Hey there, buddy!\n
	+ Are you waiting for\n
	+ your pals, or what?
     b	= Cosa stai aspettando?\n
	+ Fai qualcosa!\n
	+ \n
	+ La tua viscida\n
	+ vernice ha completamente\n
	+ coperto il mio amico!!!
     c	= Welcome to\n
	+ Isle Delfino!\n
	+ \n
	+ Step right up and\n
	+ get yourself a free\n
	+ tourist map!\n
	+ Press the Z Button\n
	+ to view your map.
     d	= E'cosi luminoso...\n
	+ Mi chiedo che\n
	+ cosa sia?
     e	= Quell'oggetto scintillante...\n
	+ Non è una stella.\n
	+ Cosa potrà essere?
     f	= Oooh! A shiny-shiny\n
	+ from the icky goop!
    10	= A shiny-shiny came\n
	+ out of the slime!
    11	= A sparkly! It came\n
	+ out of the yucky!
    12	= Hey! A sparkly came\n
	+ out of the goop!
    13	= A twinkly thing came\n
	+ out of the ooze!
    14	= Woooo!\n
	+ Un Sole Custode!\n
	+ \n
	+ Forse quel mostro\n
	+ l'aveva nascosto?
    15	= Ah! Un Sole Custode!
    16	= Ora ricordo!\n
	+ Tu... Tu sei...\n
	+ \n
	+ Oh, aspetta.\n
	+ Non importa.
    17	= Eh? Is that a Shine\n
	+ Sprite over there?\n
	+ That's a little odd...
    18	= Wow! A Shine Sprite!
    19	= Welcome to\n
	+ Isle Delfino!\n
	+ \n
	+ Step right up and\n
	+ get yourself a free\n
	+ tourist map!\n
	+ Press the Z Button\n
	+ to view your map.

