#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/b]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= 0
     1	= 1
     2	= 2
     3	= 3
     4	= 4
     5	= What's this icky,\n
	+ paint-like goop?\n
	+ \n
	+ The princess has\n
	+ some... unique interior\n
	+ decor tastes.
     6	= 6
     7	= 7
     8	= Why do you suppose\n
	+ this corner of the\n
	+ basement is here?\n
	+ It doesn't go\n
	+ anywhere.
     9	= 9
     a	= 10
     b	= 11
     c	= 12
     d	= 13
     e	= 14
     f	= 15
    10	= 16
    11	= 17
    12	= 18
    13	= 19
    14	= 20
    15	= 21
    16	= 22
    17	= 23
    18	= 24
    19	= 25

