#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x04
@DEFAULT-ATTRIBS = []
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Dañado
     1	= Inserta una Memory Card válida.
     2	= ¿Deseas crear un archivo en\n
	+ la Memory Card (tarjeta de\n
	+ memoria) de la Ranura A?
     3	= Los datos están dañados.\n
	+ ¿Deseas borrarlos?
     4	= Los datos están dañados.\n
	+ ¿Deseas sobrescribirlos\n
	+ con nuevos datos?
     5	= La Memory Card (tarjeta de\n
	+ memoria) insertada en la\n
	+ Ranura A contiene datos\n
	+ dañados y hay que formatearla.\n
	+ ¿Deseas hacerlo ahora?
     6	= La Memory Card (tarjeta de\n
	+ memoria) insertada en la\n
	+ Ranura A contiene datos\n
	+ dañados y hay que formatearla.\n
	+ ¿Deseas hacerlo ahora?
     7	= Si formateas la Memory Card\n
	+ (tarjeta de memoria), se\n
	+ borrarán todos los datos\n
	+ guardados.\n
	+ ¿Deseas continuar?
     8	= ¿Quieres que te lo\n
	+ vuelva a explicar?
     9	= ¿Deseas guardar?
     a	= ¡Has conseguido\n
	+ todos los Soles! \n
	+ ¿Quieres guardar?
     b	= Creando el archivo...\n
	+ No toques ni la Memory Card\n
	+ (tarjeta de memoria) ni\n
	+ el Botón POWER.
     c	= Pulsa el Botón A para\n
	+ continuar sin guardar.
     d	= La Memory Card (tarjeta de \n
	+ memoria) de la Ranura A está\n
	+ dañada y no puede utilizarse.\n
	+ Inserta otra Memory Card (tarjeta\n
	+ de memoria) o pulsa el Botón A\n
	+ para continuar sin guardar.
     e	= No se ha podido guardar.\n
	+ \n
	+ No se detecta ninguna Memory\n
	+ Card (tarjeta de memoria)\n
	+ en la Ranura A.
     f	= No hay espacio suficiente en la\n
	+ Memory Card (tarjeta de memoria)\n
	+ insertada en la Ranura A. Para\n
	+ guardar datos de Super Mario\n
	+ Sunshine se necesitan 1 archivo\n
	+ y 7 bloques libres. Inserta otra\n
	+ Memory Card (tarjeta de memoria)\n
	+ o pulsa el Botón A para continuar\n
	+ sin guardar.
    10	= No hay espacio suficiente en la\n
	+ Memory Card (tarjeta de memoria)\n
	+ insertada en la Ranura A. Para\n
	+ guardar datos de Super Mario\n
	+ Sunshine se necesitan 1 archivo\n
	+ y 7 bloques libres. Inserta otra\n
	+ Memory Card (tarjeta de memoria)\n
	+ o pulsa el Botón A para continuar\n
	+ sin guardar.
    11	= El objeto insertado en la\n
	+ Ranura A no es válido.
    12	= No se ha podido guardar.\n
	+ \n
	+ No hay ningún archivo con\n
	+ datos de este juego en la\n
	+ Memory Card (tarjeta de\n
	+ memoria) de la Ranura A.
    13	= No se ha podido guardar en la\n
	+ Memory Card (tarjeta de memoria)\n
	+ de la Ranura A. Inserta la\n
	+ Memory Card (tarjeta de memoria)\n
	+ original o pulsa el Botón A para\n
	+ continuar sin guardar.
    14	= La Memory Card (tarjeta de\n
	+ memoria) de la Ranura A no es\n
	+ compatible con Super Mario\n
	+ Sunshine. Inserta otra Memory\n
	+ Card (tarjeta de memoria)\n
	+ o pulsa el Botón A para\n
	+ continuar sin guardar.
    15	= \n
	+ Error... No se ha podido\n
	+ crear el archivo.
    16	= \n
	+ Error... No se ha\n
	+ podido formatear.
    17	= No se ha podido guardar.
    18	= Formateando...\n
	+ No toques ni la Memory Card\n
	+ (tarjeta de memoria) ni\n
	+ el Botón POWER.
    19	= Nuevo
    1a	= Guardando el archivo...\n
	+ No toques ni la Memory Card\n
	+ (tarjeta de memoria) ni\n
	+ el Botón POWER.
    1b	= ¿En qué archivo deseas\n
	+ guardar estos datos?
    1c	= Guardar y continuar
    1d	= Continuar
    1e	= Guardar y salir
    1f	= Continuar
    20	= Volver a la pantalla\n
	+ del título
    21	= Se ha creado el archivo.
    22	= El formateo se ha realizado\n
	+ correctamente.
    23	= Se ha terminado de guardar.\n
	+ ¿Deseas seguir jugando?
    24	= ¡Conseguiste una\n
	+ Moneda Azul!\n
	+ Hazte con diez y dirígete al\n
	+ cobertizo del embarcadero\n
	+ de Ciudad Delfino.
    25	= ¡Conseguiste el Planeador!\n
	+ \n
	+ ¡Mantén pulsado >\n
	+ para volar por los cielos!
    26	= ¡Conseguiste el Propulsor!\n
	+ ¡Ponlo a plena potencia\n
	+ con > y sal disparado a\n
	+ la estratosfera!
    27	= ¡Conseguiste el\n
	+ Turborreactor!\n
	+ ¡Mantén pulsado >\n
	+ para salir zumbando!
    28	= ¡Te has hecho amigo\n
	+ de Yoshi!\n
	+ Pulsa # para darle\n
	+ de comer.
    29	= ¡BRILLANTE!\n
	+ ¿Quieres guardar?

