#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [,1/2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Fais attention\n
	+ à la boue !\n
	+ Asperge-la !
     1	= Appuie sur <\n
	+ pour retomber\n
	+ lourdement\n
	+ sur le sol !
     2	= La pompe ne \n
	+ semble pas \n
	+ avoir d'effet\n
	+ quand il se\n
	+ déplace !
     3	= Tu dois \n
	+ trouver un \n
	+ moyen pour\n
	+ l'empêcher\n
	+ de te \n
	+ frapper !\040
     4	= Pourquoi ne\n
	+ pas essayer\n
	+ de le tirer\n
	+ en appuyant\n
	+ sur # ?
     5	= Saute pour\n
	+ éviter ses\n
	+ attaques. \n
	+ Fais attention\n
	+ à ton timing...
     6	= Il faudrait\n
	+ faire plus que\n
	+ de lui envoyer\n
	+ directement\n
	+ de l'eau !
     7	= C'est le \n
	+ moment !\n
	+ Attaque avec\n
	+ une Charge \n
	+ au Sol !
     8	= Laisse-moi \n
	+ faire. Je\n
	+ t'alerterai\n
	+ si quelque \n
	+ chose arrive !
     9	= Une Bill Balle\n
	+ approche par\n
	+ derrière !
     a	= Tu as \n
	+ attrapé un\n
	+ hydromissile !\n
	+ Tire vite \n
	+ sur Mecha-\n
	+ Bowser !
     b	= Danger !\n
	+ Essaie \n
	+ d'arroser \n
	+ les flammes !
     c	= Lui envoyer \n
	+ de l'eau \n
	+ provoque sa\n
	+ division !
     d	= Ils se\n
	+ divisent en\n
	+ petites \n
	+ parties.
     e	= Ils sont tous \n
	+ après toi !\n
	+ Fais \n
	+ attention !
     f	= C'est \n
	+ inefficace !\n
	+ Et il se\n
	+ moque de \n
	+ toi...
    10	= Tu dois\n
	+ faire quelque \n
	+ chose contre\n
	+ cette langue\n
	+ délicate !
    11	= Il ne semble \n
	+ pas apprécier\n
	+ la nourriture\n
	+ épicée. C'est\n
	+ le moment ou\n
	+ jamais !
    12	= Mes capteurs \n
	+ détectent une\n
	+ substance \n
	+ toxique en\n
	+ approche.
    13	= Il semble que\n
	+ nous soyons\n
	+ attaqués par \n
	+ des bactéries.
    14	= Voilà ce qui \n
	+ se passe \n
	+ quand on ne \n
	+ se lave pas\n
	+ les dents !
    15	= Il fait sombre,\n
	+ je ne me \n
	+ sens pas en\n
	+ sécurité...
    16	= Ces Chomps \n
	+ sont bien mal\n
	+ éduqués...
    17	= Essaie de lui\n
	+ attraper la \n
	+ queue et de\n
	+ tirer dessus !
    18	= Il faudrait le\n
	+ refroidir un \n
	+ peu...
    19	= N'oublie pas,\n
	+ il faut \n
	+ toujours bien \n
	+ te comporter \n
	+ avec les\n
	+ animaux...
    1a	= Je suis sûr\n
	+ qu'il n'aime\n
	+ pas la\n
	+ baignade...
    1b	= Il devient\n
	+ fou quand\n
	+ il est en\n
	+ surchauffe !
    1c	= Il semble\n
	+ essayer de \n
	+ t'éviter, \n
	+ Mario !
    1d	= Mario, \n
	+ as-tu tenté \n
	+ d'utiliser\n
	+ un tonneau \n
	+ plein d'eau ?
    1e	= Nous devrions\n
	+ essayer de \n
	+ renverser ce\n
	+ bassin...
    1f	= Tu devrais\n
	+ peut-être \n
	+ m'utiliser \n
	+ pour gagner \n
	+ d'abord de la\n
	+ hauteur...
    20	= Ca semble\n
	+ être efficace !\n
	+ Encore quatre\n
	+ fois...
    21	= Encore trois\n
	+ fois...
    22	= P... plus\n
	+ que deux,\n
	+ Mario !
    23	= On...\n
	+ On a réussi !
    24	= C'est un coup\n
	+ direct !
    25	= Tes mains \n
	+ glissent sur\n
	+ cette tache\n
	+ d'encre !
    26	= Tu as \n
	+ attrapé un\n
	+ hydromissile !\n
	+ Utilise-le \n
	+ pour éclater \n
	+ les ballons !
    27	= Plus que deux\n
	+ tours ! \n
	+ Tiens bon,\n
	+ Mario !
    28	= C'est notre \n
	+ dernière \n
	+ chance ! Il ne\n
	+ faut pas \n
	+ manquer ceux \n
	+ qui restent !
    29	= Dernière \n
	+ chance !\n
	+ Explose-les \n
	+ tous !
    2a	= Tu as explosé\n
	+ tous les \n
	+ ballons !\n
	+ Formidable !
    2b	= Tes attaques\n
	+ n'ont aucun \n
	+ effet ! Tu \n
	+ devrais \n
	+ changer ton\n
	+ timing...
    2c	= L'Oiseau \n
