#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [,1/2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Gib auf den\n
	+ Schleim Acht!\n
	+ Wasser los!
     1	= Drücke < im\n
	+ Sprung, um\n
	+ die Stampf-\n
	+ attacke\n
	+ auszuführen!
     2	= Wasser hilft\n
	+ nicht immer,\n
	+ wenn er sich\n
	+ bewegt!
     3	= Finde einen\n
	+ Weg, ihn zu\n
	+ bekämpfen!
     4	= Versuche, es\n
	+ durch Drücken\n
	+ von # zu\n
	+ greifen!
     5	= Springe, um\n
	+ den Angriffen\n
	+ auszuweichen!\n
	+ Achte auf das\n
	+ Timing...
     6	= Mit Wasser\n
	+ alleine kannst\n
	+ du sie nicht\n
	+ auf den\n
	+ Rücken legen.
     7	= Das ist deine\n
	+ Chance!\n
	+ Greife mit der\n
	+ Stampfattacke\n
	+ an!
     8	= Überlass es\n
	+ mir!\n
	+ Ich melde,\n
	+ wenn ich\n
	+ etwas sehe!
     9	= Kugel-Willi\n
	+ auf Achtern!
     a	= Das ist eine\n
	+ Wasserrakete!\n
	+ Schnell!\n
	+ Schieße sie\n
	+ auf Robo-\n
	+ Bowser.
     b	= Vorsicht!\n
	+ Versuch, die\n
	+ Flammen mit\n
	+ Wasser zu\n
	+ bekämpfen!
     c	= Bespritzt du\n
	+ es mit Was-\n
	+ ser, teilt es\n
	+ sich!
     d	= Es teilt sich\n
	+ in kleinere\n
	+ Ziele auf!
     e	= Jetzt jagen\n
	+ sie dich!\n
	+ Gib Acht!
     f	= Wirkungslos.\n
	+ Er lacht dich\n
	+ aus...
    10	= Du solltest\n
	+ etwas gegen\n
	+ den Geist\n
	+ unternehmen!
    11	= Er scheint\n
	+ scharfes Es-\n
	+ sen nicht zu\n
	+ mögen. Das\n
	+ ist deine\n
	+ Chance!
    12	= Meine Senso-\n
	+ ren zeigen,\n
	+ dass sich\n
	+ giftiges\n
	+ Material\n
	+ nähert.
    13	= Wir werden\n
	+ von Karies-\n
	+ Bakterien\n
	+ angegriffen...
    14	= Denk dran,\n
	+ dir regel-\n
	+ mäßig die\n
	+ Zähne zu\n
	+ putzen!
    15	= Es ist dunkel!\n
	+ Ich habe\n
	+ Angst!
    16	= Hier ist wohl\n
	+ jemand\n
	+ schlecht er-\n
	+ zogen...
    17	= Warum greifst\n
	+ du nicht den\n
	+ Schweif und\n
	+ spannst ihn?
    18	= Versuche, ihn\n
	+ am Kopf\n
	+ abzukühlen!
    19	= Du solltest\n
	+ immer nett\n
	+ zu deinen\n
	+ Haustieren\n
	+ sein...
    1a	= Hmm, es\n
	+ scheint, er\n
	+ mag das\n
	+ Baden nicht...
    1b	= Wird es ihm\n
	+ zu heiß,\n
	+ scheint er\n
	+ durchzudre-\n
	+ hen!
    1c	= Es scheint,\n
	+ er meidet\n
	+ dich, Mario!
    1d	= Mario, hast\n
	+ du schon ein\n
	+ Wasserfass\n
	+ benutzt?
    1e	= Vielleicht\n
	+ sollten wir\n
	+ versuchen,\n
	+ die heiße\n
	+ Badewanne\n
	+ umzukippen.
    1f	= Du solltest\n
	+ mit dem\n
	+ Dreckweg\n
	+ zunächst\n
	+ an Höhe\n
	+ gewinnen...
    20	= Das ist sehr\n
	+ effektiv!\n
	+ Mach das\n
	+ noch vier\n
	+ weitere Male!
    21	= Noch dreimal!
    22	= N-noch\n
	+ z-zweimal,\n
	+ Mario!
    23	= Wir... haben...\n
	+ es...\n
	+ geschafft...
    24	= Volltreffer!
    25	= Deine Hände\n
	+ rutschen von\n
	+ der flut-\n
	+ schigen\n
	+ Tinte ab!
    26	= Das ist eine\n
	+ Wasserrakete!\n
	+ Schieße damit\n
	+ auf die\n
	+ Ballons!
    27	= Nur noch zwei\n
	+ Runden Zeit!\n
	+ Gib dein\n
	+ Bestes,\n
	+ Mario!
    28	= Dies ist die\n
	+ letzte Runde\n
	+ und es sind\n
	+ noch einige\n
	+ übrig...
    29	= Das ist die\n
	+ letzte Runde!\n
	+ Weiter so!\n
	+ Du kannst es \n
	+ schaffen!\n
    2a	= Du hast alle\n
	+ Ballons ge-\n
	+ troffen!\n
	+ Fantastisch!
    2b	= Deine Angriffe\n
	+ sind wir-\n
	+ kungslos!\n
	+ Ändere dein\n
	+ Timing...
    2c	= Der legendäre\n
	+ Sandvogel! Er\n
	+ fliegt um den\n
	+ Turm. Gib\n
	+ Acht!
    2d	= Es... gibt...\n
	+ noch...\n
	+ eine...\n
	+ S... S...\n
	+ Stelle.
    2e	= Versuche, es\n
	+ mit Wasser\n
	+ zu bespritzen!
    2f	= Bespritze es\n
	+ mit Wasser\n
	+ und versuche\n
	+ es aus dem\n
	+ Gleichgewicht\n
	+ zu bringen!
    30	= Es ist aus\n
	+ dem Gleich-\n
	+ gewicht!\n
	+ Das ist deine\n
	+ Chance!
    31	= So nicht!\n
	+ Dränge es\n
	+ zum Rand und\n
	+ stampfe auf\n
	+ der anderen\n
	+ Seite!
    32	= Gute Arbeit!\n
	+ Noch zwei\n
	+ Spiegel!
    33	= Exzellent!\n
	+ Noch einen\n
	+ Spiegel!
    34	= Benutze\n
	+ Wasser!\n
	+ Ziele mit der\n
	+ Düse und\n
	+ drücke >\n
	+ zum Schießen!
    35	= Drücke +, um\n
	+ auf die\n
	+ Schwebe-\n
	+ Düse umzu-\n
	+ schalten!
    36	= Der Tank kann\n
	+ im Wasser\n
	+ aufgefüllt\n
	+ werden.\n
	+ Drücke > zum\n
	+ Auffüllen.
    37	= Springe gegen\n
	+ eine Wand\n
	+ und drücke\n
	+ @, um den\n
	+ Wandsprung\n
	+ auszuführen.
    38	= Bewege *\n
	+ gegen die\n
	+ Laufrichtung\n
	+ und drücke\n
	+ @ für einen\n
	+ Salto. \040
    39	= Drücke < im\n
	+ Sprung, um\n
	+ die Stampf-\n
	+ attacke\n
	+ auszuführen!
    3a	= 
    3b	= 
    3c	= Drücke beim\n
	+ Rennen #,\n
	+ um auf dem\n
	+ Bauch zu\n
	+ rutschen.\n
    3d	= Drücke im\n
	+ Wasser #, um\n
	+ zu tauchen.\n
	+ Achte auf\n
	+ deinen\n
	+ Sauerstoff.
    3e	= Er floh in das\n
	+ Geschmiere!\n
	+ Mario! Be-\n
	+ spritze es\n
	+ mit Wasser!
    3f	= Drücke @ im\n
	+ Wasser wenn\n
	+ du regungslos\n
	+ bist, um\n
	+ hinauszu-\n
	+ springen!
    40	= Du kannst\n
	+ das durch\n
	+ Drücken von\n
	+ # werfen!\n
	+ Springe und\n
	+ drücke #!
    41	= Springst du \n
