#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x04
@DEFAULT-ATTRIBS = []
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Ein kleines Flugfeld,\n
	+ das auf Inseln nahe\n
	+ Piazza Delfino\n
	+ errichtet wurde. Die\n
	+ Hauptinsel erreicht\n
	+ man in kleinen\n
	+ Booten.
     1	= Die Fähre bringt die\n
	+ Urlauber nach Isla\n
	+ Delfino. Berühmte\n
	+ Sehenswürdigkeiten\n
	+ sind Porta Sole und\n
	+ die Palma-Statue.
     2	= Dieses nette Städt-\n
	+ chen liegt am Fuße\n
	+ vom Collina Korona.\n
	+ Die berühmten Wind-\n
	+ mühlen drehen sich\n
	+ elegant im zarten\n
	+ Hauch der Seeluft.
     3	= Das Bild der Hafen-\n
	+ stadt von Isla Del-\n
	+ fino ist geprägt von\n
	+ Schiffen jeder Größe\n
	+ und zugleich von\n
	+ regem Treiben und\n
	+ Geschäftigkeit.
     4	= Der längste Strand\n
	+ der Insel liegt einla-\n
	+ dend unter dem him-\n
	+ melblauen Firmament.\n
	+ Nimm im Schatten\n
	+ des Torre del Sole\n
	+ ein Sonnenbad.\040
     5	= Der Vergnügungspark\n
	+ lockt mit einer\n
	+ Achterbahn, einem\n
	+ Muschelkarussell und\n
	+ dem Ausblick vom\n
	+ Riesenrad.
     6	= Sanftes Meeres-\n
	+ rauschen, einzigartige\n
	+ Sonnenuntergänge\n
	+ und romantische\n
	+ Diners: Die Speziali-\n
	+ tät vom Luxushotel\n
	+ Hotel Delfino.\040
     7	= Die antike Heimat der\n
	+ Palma wurde in einen\n
	+ riesigen Baum ge-\n
	+ baut, um sie vor\n
	+ Tieren zu schützen.\n
	+ Unter dem Dorf ge-\n
	+ deihen Riesenpilze.
     8	= Die Paradiso fühlen\n
	+ sich zwischen steilen\n
	+ Klippen und nahe der\n
	+ See wie zu Hause.\n
	+ Der Wasserfall und\n
	+ die drei Türme be-\n
	+ zeugen ihre Herkunft.
     9	= Die heiße Quelle am\n
	+ Fuße des Berges\n
	+ von Isla Delfino wirkt\n
	+ entspannend, aber\n
	+ es ist verboten, die\n
	+ Lavahöhlen darunter\n
	+ zu betreten.
     a	= Die Insignien der\n
	+ Sonne von Isla Del-\n
	+ fino sammeln sich\n
	+ gewöhnlich um Porta\n
	+ Sole. Ihre Kraft\n
	+ erhält die Insel.\040
     b	= Dieses Bergvolk ist\n
	+ stark, neugierig und\n
	+ sehr sozial. Die\n
	+ Palmen auf ihren\n
	+ Köpfen schützen sie\n
	+ vor der Hitze.
     c	= Paradiso tragen\n
	+ Muscheln als Remi-\n
	+ niszenz an ihr Leben\n
	+ in den Korallenriffen.\n
	+ Ihre Vorsicht verbirgt\n
	+ ihren hohen Intellekt.
     d	= Pista Delfino
     e	= Piazza Delfino
     f	= Monte Bianco
    10	= Porto d'Oro
    11	= Playa Del Sol
    12	= Parco Fortuna
    13	= Lido Sirena
    14	= Plaza Della Palma
    15	= Baia Paradiso
    16	= Collina Korona
    17	= Kraftquelle: Insignien der Sonne
    18	= Palma: Das Bergvolk
    19	= Paradiso: Das Meervolk

