#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/,1,2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x30100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Ah, Mario!\n
	+ Vedo che sei sano\n
	+ e salvo!\n
	+ Sapevo che\n
	+ ce l'avresti fatta!
     1	= Signor Mario, vedo\n
	+ con piacere che\n
	+ sta bene.\n
	+ Prima stavamo\n
	+ facendo un giro vicino\n
	+ alla \z{7ff,400}Porta Solis\z{7ff,100}.\n
	+ Pare che quell'area\n
	+ sia ancora abbastanza\n
	+ luminosa.\n
	+ Andrebbe a dare\n
	+ un'occhiata,\n
	+ per favore?
     2	= Ehi, ma allora non\n
	+ t'è successo nulla!\n
	+ Che sollievo!\n
	+ Questa vacanza è\n
	+ davvero assurda!\n
	+ \n
	+ La Principessa ti\n
	+ sta aspettando\n
	+ più avanti.
     3	= Ehi, Mario!\n
	+ Sai per caso perché il\n
	+ tempo è così strano?
     4	= Tutti sull'isola vanno\n
	+ pazzi per lo\n
	+ "schiantalacassa"!\n
	+ È un gioco\n
	+ divertentissimo, ora\n
	+ te lo spiego...\n
	+ Devi saltare e premere\n
	+ < mentre atterri\n
	+ su una cassa!
     5	= Improvvisamente ho\n
	+ visto tutto\n
	+ oscurarsi...\n
	+ Ho pensato:\n
	+ questa è la fine!
     6	= Non di qui!\n
	+ Devi andare alla\n
	+ piazza principale!
     7	= Cosa aspetti a\n
	+ ripulire Piazza\n
	+ Ariosa?\n
	+ Ma come si fa a\n
	+ imbrattare una\n
	+ città così bella?!
     8	= Ripulisci subito\n
	+ Piazza Ariosa,\n
	+ hai capito?!\n
	+ I graffiti mi fanno\n
	+ andare in bestia!
     9	= I baffetti, il berretto...\n
	+ \n
	+ \n
	+ Sei identico a quel\n
	+ delinquente ricercato\n
	+ dalla polizia!\n
	+ Ma allora sei stato tu\n
	+ ad imbrattare i muri\n
	+ con quelle orribili M!\n
	+ Ripulisci tutto\n
	+ immediatamente,\n
	+ teppistello!
     a	= Ehi, ma tu non sei il\n
	+ delinquente coi baffi\n
	+ di cui tutti parlano?\n
	+ Ora non credere di\n
	+ cavartela ripulendo\n
	+ la città!
     b	= Ma guarda chi si\n
	+ rivede...\n
	+ L'imbrattatore baffuto!\n
	+ Dimmi un po', cosa\n
	+ credevi di fare con\n
	+ i tuoi scarabocchi?\n
	+ Ora ripulisci tutto,\n
	+ e alla svelta!
     c	= A destra ci sono i\n
	+ durian, a sinistra\n
	+ le noci di cocco.\n
	+ Se non compri, levati\n
	+ di torno, non ho\n
	+ tempo da perdere!
     d	= Con questo caldo, non\n
	+ c'è niente di meglio di\n
	+ un bel... peperoncino!\n
	+ Va bene, forse con\n
	+ quest'afa i peperoncini\n
	+ non sono il massimo...\n
	+ Ma io dovrò pur\n
	+ vendere qualcosa, no?
     e	= Ho appena sentito\n
	+ un urlo dalla piazza...\n
	+ Cosa sarà successo?
     f	= Ehi, ma è incredibile!\n
	+ Dobbiamo chiamare la\n
