#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/1,1f,2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x80000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Bentornato!\n
	+ Che bello vedere\n
	+ che stai bene!\n
	+ Che vacanza assurda,\n
	+ vero? E come se non\n
	+ bastasse...\n
	+ ora la barca che porta\n
	+ all'hotel non va!
     1	= La sorte si sta\n
	+ davvero accanendo\n
	+ contro quest'isola...
     2	= L'ho visto mentre\n
	+ imbrattava la città con\n
	+ un pennello.\n
	+ Come, chi? Il rapitore!
     3	= Credevo che questa\n
	+ fosse l'isola del\n
	+ sole, ma in realtà...\n
	+ sembra l'isola\n
	+ dell'ombra!\n
	+ \n
	+ Sarà perché sono\n
	+ scomparsi i Soli\n
	+ Custodi?
     4	= Tutti sull'isola vanno\n
	+ pazzi per lo\n
	+ "schiantalacassa"!\n
	+ È un gioco\n
	+ divertentissimo, ora\n
	+ te lo spiego...\n
	+ Devi saltare e premere\n
	+ < mentre atterri\n
	+ su una cassa!
     5	= Mario! Hai imparato\n
	+ ad usare lo\n
	+ SPLAC 3000?\n
	+ Se premi +, entra\n
	+ in modalità\n
	+ Spruzzoplano.\n
	+ Ti permette di\n
	+ fluttuare in aria\n
	+ per un po'!
     6	= Un tempo su\n
	+ quest'isola vivevano\n
	+ anche gli Yoshi.
     7	= Ehi, stai battendo\n
	+ la fiacca?!
     8	= Pulisci subito\n
	+ quelle pareti,\n
	+ fannullone!
     9	= Quest'oscurità mi\n
	+ mette proprio\n
	+ tristezza...\n
	+ Sto così male da\n
	+ quando i Soli Custodi\n
	+ sono scomparsi...\n
	+ È tutta colpa tua,\n
	+ e sembra che non ti\n
	+ dispiaccia neppure!
     a	= Essere intrappolati\n
	+ in quella melma è\n
	+ orribile!\n
	+ Però devo ammettere\n
	+ che il gusto non\n
	+ è male...
     b	= È tutta colpa tua se\n
	+ i Soli Custodi se ne\n
	+ sono andati!\n
	+ Guarda com'è \n
	+ diventato nero\n
	+ il cielo!
     c	= Te l'ho già detto:\n
	+ NON SI FANNO\n
	+ OMAGGI!
     d	= Se mangi uno\n
	+ di questi...\n
	+ \n
	+ inizierai a sudare\n
	+ come se avessi\n
	+ scalato una montagna!
     e	= La nostra frutta è\n
	+ dolce e succosa, ma...\n
	+ \n
	+ senza sole non\n
	+ può crescere!\n
	+ \n
	+ Se va avanti così,\n
	+ potremo scordarci\n
	+ le macedonie!\n
	+ Ma che fine avranno\n
	+ fatto i Soli Custodi?!
     f	= Uffa, qui non\n
	+ succede mai niente\n
	+ di interessante...\n
	+ Nessuno scandalo,\n
	+ nessun pettegolezzo!\n
	+ Mi sto annoiando!
    10	= Com'è buio! Ma siamo\n
	+ sicuri che sia giorno?\n
	+ \n
	+ Forse il cielo è\n
	+ sempre così grigio\n
	+ in città...
    11	= Ma dov'è il Gran\n
	+ Sole Custode?\n
	+ \n
	+ Nella guida è chiamato\n
	+ il grande occhio che\n
	+ veglia sull'isola!
    12	= Non posso\n
	+ crederci!\n
	+ \n
	+ Qualcuno ha sporcato\n
	+ i muri di questa\n
	+ stupenda città!\n
	+ E poi, cosa diamine \n
	+ significa\n
	+ quella M?!\n
	+ A proposito, non ti\n
	+ ho già visto da\n
	+ queste parti?
    13	= Ma allora è vero...\n
	+ I Soli Custodi ci\n
	+ hanno abbandonato!\n
	+ M'è venuta\n
	+ una depressione...\n
	+ \n
	+ Non potremo\n
	+ più abbronzarci?!
    14	= Starai sicuramente\n
	+ per combinare un altro\n
	+ dei tuoi disastri!\n
	+ Lo so che sei un\n
	+ tipo pericoloso...
    15	= Bugiardo! I tuoi\n
	+ antenati erano\n
	+ tutti parrucchieri!
    16	= Non ti racconto\n
	+ frottole, ti dico che\n
	+ l'ho letto in un libro!\n
	+ Mi capisci quando\n
	+ parlo, o ti sei\n
	+ frullato il cervello?
    17	= No, no... la barca\n
	+ non parte ancora.\n
	+ \n
	+ Beh, non so\n
	+ cosa farci...
    18	= Ci vorrà un bel\n
	+ po' per finire\n
	+ le riparazioni...
    19	= Ho fatto naufragio\n
	+ tre anni fa e da allora\n
	+ vivo su quest'isola.\n
	+ Vorrei andarmene, ma\n
	+ non so nuotare.\n
	+ Che tristezza, vero?
    1a	= Oh no... Ho di nuovo\n
	+ quella sensazione...\n
	+ \n
	+ Sarà successo un\n
	+ altro disastro?\n
	+ \n
	+ Ho proprio\n
	+ paura di sì!\n
	+ \n
	+ Mario, ti prego,\n
	+ cerca di scoprire\n
	+ cos'è accaduto!
    1b	= Signor Mario, faccia\n
	+ sempre attenzione a\n
	+ Delfinia News!\n
	+ È un servizio che\n
	+ informa su ciò\n
	+ che accade sull'isola!
    1c	= L'ho visto mentre\n
	+ imbrattava la città con\n
	+ un pennello.\n
	+ Come, chi? Il rapitore!
    1d	= La Porta Solis è a\n
	+ nord. Ad est c'è il\n
	+ Faro.\n
	+ Ad ovest c'è la\n
	+ Baracca sul Mare.\n
	+ Ora ti trovi a sud.\n
	+ Premi $ per vedere\n
	+ la mappa.\n
	+ \n
	+ Potrai controllare\n
	+ la tua posizione!
    1e	= Tutti sull'isola vanno\n
	+ pazzi per lo\n
	+ "schiantalacassa"!\n
	+ È un gioco\n
	+ divertentissimo, ora\n
	+ te lo spiego...\n
	+ Devi saltare e premere\n
	+ < mentre atterri\n
	+ su una cassa!
    1f	= Mario! Hai imparato\n
	+ ad usare lo\n
	+ SPLAC 3000?\n
	+ Se premi +, entra\n
	+ in modalità\n
	+ Spruzzoplano.\n
	+ Ti permette di\n
	+ fluttuare in aria\n
	+ per un po'!
    20	= Su quest'isola un\n
	+ tempo vivevano anche\n
	+ degli Yoshi!
    21	= Ehi, stai battendo\n
	+ la fiacca?!
    22	= Pulisci subito\n
	+ quelle pareti,\n
	+ fannullone!
    23	= Quest'oscurità mi\n
	+ mette proprio\n
	+ tristezza...\n
	+ Sto così male da\n
	+ quando i Soli Custodi\n
	+ sono scomparsi...\n
	+ È tutta colpa tua,\n
	+ e sembra che non ti\n
	+ dispiaccia neppure!
    24	= Essere intrappolati\n
	+ in quella melma è\n
	+ orribile!\n
	+ Però devo ammettere\n
	+ che il gusto non\n
	+ è male...
    25	= È tutta colpa tua se\n
	+ i Soli Custodi se ne\n
	+ sono andati!\n
	+ Guarda com'è \n
	+ diventato nero\n
	+ il cielo!
    26	= Te l'ho già detto:\n
	+ NON SI FANNO\n
	+ OMAGGI!
    27	= Se mangi uno\n
	+ di questi...\n
	+ \n
	+ inizierai a sudare\n
	+ come se avessi\n
	+ scalato una montagna!
    28	= La nostra frutta è\n
	+ dolce e succosa, ma...\n
	+ \n
	+ senza sole non\n
	+ può crescere!\n
	+ \n
	+ Se va avanti così,\n
	+ potremo scordarci\n
	+ le macedonie!\n
	+ Ma che fine avranno\n
	+ fatto i Soli Custodi?!
    29	= Ehi, aspetta\n
	+ un attimo...\n
	+ \n
	+ Sta per succedere\n
	+ qualcosa di\n
	+ interessante. \n
	+ Sì, ma... dove?!
    2a	= Com'è buio! Ma siamo\n
	+ sicuri che sia giorno?\n
	+ \n
	+ Forse il cielo è\n
	+ sempre così grigio\n
	+ in città...
    2b	= Ma dov'è il Gran\n
	+ Sole Custode?\n
	+ \n
	+ Nella guida è chiamato\n
	+ il grande occhio che\n
	+ veglia sull'isola!
    2c	= Non posso\n
	+ crederci!\n
	+ \n
	+ Qualcuno ha sporcato\n
	+ i muri di questa\n
	+ stupenda città!\n
	+ E poi, cosa diamine \n
	+ significa\n
	+ quella M?!\n
	+ A proposito, non ti\n
	+ ho già visto da\n
	+ queste parti?
    2d	= Ma allora è vero...\n
	+ I Soli Custodi ci\n
	+ hanno abbandonato!\n
	+ M'è venuta\n
	+ una depressione...\n
	+ \n
	+ Non potremo\n
	+ più abbronzarci?!
    2e	= Starai sicuramente\n
	+ per combinare un altro\n
	+ dei tuoi disastri!\n
	+ Lo so che sei un\n
	+ tipo pericoloso...
    2f	= Il Gran Palmense\n
	+ della statua era\n
	+ un tuo antenato?!\n
	+ Ma guarda che sei\n
	+ proprio bugiardo!\n
	+ \n
	+ Per colpa dei bugiardi\n
	+ come te i Soli Custodi\n
	+ ci hanno lasciato!
    30	= Non sto mentendo!\n
	+ L'ho letto in un libro!\n
	+ \n
	+ I Soli Custodi sono\n
	+ scomparsi per colpa\n
	+ degli zucconi come te!
    31	= No, no... la barca\n
	+ non parte ancora.\n
	+ \n
	+ Beh, non so\n
	+ cosa farci...
    32	= Ci vorrà un bel\n
	+ po' per finire\n
	+ le riparazioni...
    33	= Ho fatto naufragio\n
	+ tre anni fa e da allora\n
	+ vivo su quest'isola.\n
	+ Vorrei andarmene, ma\n
	+ non so nuotare.\n
	+ Che tristezza, vero?

#
#------------------------------------------------------------------------------

@SECTION "STR1"

@X   0:   0 64 6f 6c  70 69 63 32  5f 30 30  0  64 6f 6c 70  :.dolpic2_00.dolp:
@X  10:  69 63 32 5f  30 31  0 64  6f 6c 70 69  63 32 5f 30  :ic2_01.dolpic2_0:
@X  20:  32  0 64 6f  6c 70 69 63  32 5f 30 33   0 64 6f 6c  :2.dolpic2_03.dol:
@X  30:  70 69 63 32  5f 30 34  0  64 6f 6c 70  69 63 32 5f  :pic2_04.dolpic2_:
@X  40:  30 35  0 64  6f 6c 70 69  63 32 5f 30  36  0 64 6f  :05.dolpic2_06.do:
@X  50:  6c 70 69 63  32 5f 30 37   0 64 6f 6c  70 69 63 32  :lpic2_07.dolpic2:
@X  60:  5f 30 38  0  64 6f 6c 70  69 63 32 5f  30 39  0 64  :_08.dolpic2_09.d:
@X  70:  6f 6c 70 69  63 32 5f 31  30  0 64 6f  6c 70 69 63  :olpic2_10.dolpic:
@X  80:  32 5f 31 31   0 64 6f 6c  70 69 63 32  5f 31 32  0  :2_11.dolpic2_12.:
@X  90:  64 6f 6c 70  69 63 32 5f  31 33  0 64  6f 6c 70 69  :dolpic2_13.dolpi:
@X  a0:  63 32 5f 31  34  0 64 6f  6c 70 69 63  32 5f 31 35  :c2_14.dolpic2_15:
@X  b0:   0 64 6f 6c  70 69 63 32  5f 31 36  0  64 6f 6c 70  :.dolpic2_16.dolp:
@X  c0:  69 63 32 5f  31 37  0 64  6f 6c 70 69  63 32 5f 31  :ic2_17.dolpic2_1:
@X  d0:  38  0 64 6f  6c 70 69 63  32 5f 31 39   0 64 6f 6c  :8.dolpic2_19.dol:
@X  e0:  70 69 63 32  5f 32 32  0  64 6f 6c 70  69 63 32 5f  :pic2_22.dolpic2_:
@X  f0:  32 33  0 64  6f 6c 70 69  63 32 5f 32  34  0 64 6f  :23.dolpic2_24.do:
@X 100:  6c 70 69 63  32 5f 32 35   0 64 6f 6c  70 69 63 32  :lpic2_25.dolpic2:
@X 110:  5f 32 37  0  64 6f 6c 70  69 63 32 5f  33 34  0 64  :_27.dolpic2_34.d:
@X 120:  6f 6c 70 69  63 35 5f 30  30  0 64 6f  6c 70 69 63  :olpic5_00.dolpic:
@X 130:  35 5f 30 31   0 64 6f 6c  70 69 63 35  5f 30 32  0  :5_01.dolpic5_02.:
@X 140:  64 6f 6c 70  69 63 35 5f  30 33  0 64  6f 6c 70 69  :dolpic5_03.dolpi:
