#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/45]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x30000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= ¡¡Mario!!
     1	= ¡Oh!
     2	= ¡Deja a mi mamá en paz, hombre malo!
     3	= ¡No dejaré que te lleves\n
	+ a mamá Peach contigo!
     4	= ¿Mamá?
     5	= ¡¿Mamá Peach?!
     6	= ¡¿Yo soy... tu madre?!
     7	= Sí, papá me lo ha contado todo.
     8	= Dijo que a mi mamá la había secuestrado\n
	+ un hombre malo llamado Mario...
     9	= Así que eres el hijo de Bowser...
     a	= ¡Y he venido a rescatarla!
     b	= Entonces, las pintadas...
     c	= ¿las has hecho tú?
     d	= Éste es... ¡mi pincel mágico!
     e	= ¡Cuando pinto con él, mis\n
	+ deseos se hacen realidad!
     f	= Me lo dio un viejo muy raro\n
	+ con una bata blanca...
    10	= ¿Un viejo raro...\n
	+ con una bata blanca...?
    11	= Pero ¿por qué te haces\n
	+ pasar por Mario?
    12	= 
    13	= Papá me lo contó todo. Dijo: "Mario es\n
	+ un tramposo, ¡siempre juega sucio!"
    14	= Dijo: "Hijo, tienes que\n
	+ ser más listo que Mario."
    15	= Así que intenté que lo\n
	+ metieran en prisión,
    16	= ¡pero lo soltaron!
    17	= ¡Y ahora ha venido a robarme\n
	+ a mamá Peach otra vez!
    18	= Eres un... ¡pesado!\n
	+ ¡Deja de seguirnos!
    19	= ¡No! ¡Mario!
    1a	= ¡No! ¡Otra vez no!
    1b	= ¡Parece que se dirigen a\n
	+ la Montaña del Fuoco!

