#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [,1/2]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Be careful of\n
	+ that sludge!\n
	+ Spray it!
     1	= Press <\n
	+ while jumping\n
	+ to pound the\n
	+ ground!
     2	= The pump\n
	+ seems to\n
	+ have no\n
	+ effect while\n
	+ it is moving!
     3	= You must\n
	+ find a way\n
	+ to fight it!
     4	= Why not try\n
	+ pulling on it\n
	+ by pressing\n
	+ #?
     5	= Jump to\n
	+ dodge those\n
	+ attacks! Just\n
	+ watch your\n
	+ timing...
     6	= It seems you\n
	+ cannot turn\n
	+ it over just\n
	+ by squirting\n
	+ water!
     7	= Now is your\n
	+ chance!\n
	+ Attack with\n
	+ a ground\n
	+ pound!
     8	= Leave it all\n
	+ to me!\n
	+ I will report\n
	+ if I see\n
	+ anything!
     9	= A Bullet Bill\n
	+ approaches\n
	+ from behind!
     a	= You have\n
	+ obtained a\n
	+ water rocket!\n
	+ Quick! Fire it\n
	+ at Mecha-\n
	+ Bowser!
     b	= Danger!\n
	+ Try to douse\n
	+ the flames\n
	+ with water!
     c	= Spraying it\n
	+ with water\n
	+ causes it\n
	+ to divide!
     d	= They are\n
	+ dividing into\n
	+ smaller units!
     e	= Now they\n
	+ are all\n
	+ after you!\n
	+ Beware!
     f	= Ineffective.\n
	+ It is just\n
	+ laughing\n
	+ at you...
    10	= You have to\n
	+ do something\n
	+ about that\n
	+ big tongue!
    11	= He seems to\n
	+ dislike spicy\n
	+ things! Now\n
	+ is your\n
	+ chance!
    12	= My sensors\n
	+ show highly\n
	+ toxic\n
	+ materials\n
	+ approaching.
    13	= It seems we\n
	+ are being\n
	+ attacked by\n
	+ plaque-\n
	+ forming\n
	+ bacteria...
    14	= Remember to\n
	+ take proper\n
	+ care of\n
	+ your teeth!
    15	= It is dark...\n
	+ I feel\n
	+ fright...
    16	= It seems that\n
	+ someone is\n
	+ lacking the\n
	+ proper\n
	+ training...
    17	= Why not try\n
	+ grabbing the\n
	+ tail and\n
	+ snapping it?
    18	= Try cooling\n
	+ its head off!
    19	= Remember,\n
	+ always be\n
	+ kind to your\n
	+ pets...
    1a	= Well, it\n
	+ doesn't seem\n
	+ to like\n
	+ bathing...
    1b	= It seems\n
	+ to go mad\n
	+ with rage\n
	+ when it\n
	+ overheats!
    1c	= It seems\n
	+ to be\n
	+ avoiding\n
	+ you, Mario!
    1d	= Mario, have\n
	+ you tried\n
	+ using a\n
	+ water-filled\n
	+ barrel?
    1e	= Maybe we\n
	+ should try\n
	+ to tilt the\n
	+ hot tub...
    1f	= Perhaps you\n
	+ could use\n
	+ your pack to\n
	+ gain more\n
	+ height first...
    20	= That seems to\n
	+ be effective!\n
	+ Just do\n
	+ that four\n
	+ more times!
    21	= Three more\n
	+ times!
    22	= J-Just\n
	+ two m-more\n
	+ times, Mario!
    23	= We...did...it...
    24	= A direct hit!
    25	= Your hands\n
	+ are slipping\n
	+ on the inky\n
	+ goop!
    26	= You have\n
	+ obtained a\n
	+ water rocket!\n
	+ Use it to\n
	+ pop balloons!
    27	= Only two\n
	+ more laps of\n
	+ the track to\n
	+ go! Do your\n
	+ best, Mario!
    28	= This is our\n
	+ last time\n
	+ around, and\n
	+ there are still\n
	+ quite a few\n
	+ left...
    29	= Last time\n
	+ around! You\n
	+ can do it!\n
	+ Good luck!
    2a	= You popped\n
	+ all of the\n
	+ balloons!\n
	+ Amazing!
    2b	= Your attacks\n
	+ are having no\n
	+ effect! Maybe\n
	+ you need to\n
	+ alter your\n
	+ timing...
    2c	= The legendary\n
	+ Sand Bird! It\n
	+ is climbing\n
	+ around the\n
	+ tower. Watch\n
	+ your feet!
    2d	= There...is...\n
	+ one...more...\n
	+ p...p...place.
    2e	= Try spraying\n
	+ it with water!
    2f	= Spray it with\n
	+ water and try\n
	+ to upset the\n
	+ balance!
    30	= The balance\n
	+ has shifted!\n
	+ Now is your\n
	+ chance!
    31	= No good!\n
	+ Drive it to\n
	+ the edge then\n
	+ pound the\n
	+ opposite\n
	+ edge!
    32	= Good job!\n
	+ Two areas\n
	+ left!
    33	= Excellent!\n
	+ Only one area\n
	+ now remains!
    34	= Use my pump!\n
	+ Aim my nozzle\n
	+ and press\n
	+ > to fire!
    35	= Press + to\n
	+ convert my\n
	+ nozzle to\n
	+ hover mode!\n
	+ Then you can\n
	+ briefly float!
    36	= You can refill\n
	+ me anywhere\n
	+ there is\n
	+ water. Just\n
	+ press > to\n
	+ fill my tank.
    37	= If you jump\n
	+ against a wall\n
	+ and press\n
	+ @, you\n
	+ can perform\n
	+ a wall kick!
    38	= Tilt the\n
	+ Control Stick\n
	+ backward and\n
	+ press @\n
	+ to do a back\n
	+ somersault!
    39	= Press <\n
	+ while jumping\n
	+ to pound the\n
	+ ground!
    3a	= When floating\n
	+ in water, tilt\n
	+ the Control\n
