#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x04
@DEFAULT-ATTRIBS = []
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x10000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Corrompu
     1	= Ces données sont corrompues.\n
	+ Voulez-vous effacer\n
	+ ces données?
     2	= Voulez-vous créer un fichier\n
	+ pour ce jeu sur la Memory \n
	+ Card (carte mémoire)\n
	+ dans le Slot A?
     3	= Ces données sont corrompues.\n
	+ Voulez-vous effacer\n
	+ ces données?
     4	= Effacer ces données?
     5	= Les données sur la Memory \n
	+ Card (carte mémoire) dans\n
	+ le Slot A sont corrompues\n
	+ et doivent être formatées. \n
	+ Formater maintenant?
     6	= Les données sur la Memory \n
	+ Card (carte mémoire) dans\n
	+ le Slot A sont corrompues\n
	+ et doivent être formatées. \n
	+ Formater maintenant?
     7	= Le formatage effacera\n
	+ toutes les données sur la\n
	+ Memory Card (carte mémoire). \n
	+ Voulez-vous continuer?
     8	= Les données ne seront \n
	+ pas sauvegardées.\n
	+ Voulez-vous commencer\n
	+ à jouer?
     9	= Voulez-vous écraser \n
	+ ces données?
     a	= Copie en cours...\n
	+ Ne touchez pas à la Memory\n
	+ Card (carte mémoire), \n
	+ ni au bouton POWER.
     b	= Création du fichier en cours...\n
	+ Ne touchez pas à la Memory\n
	+ Card (carte mémoire),\n
	+ ni au bouton POWER.
     c	= Effacement en cours...\n
	+ Ne touchez pas à la Memory\n
	+ Card (carte mémoire), \n
	+ ni au bouton POWER.
     d	= Pour gérer les données, \n
	+ utilisez l'Ecran Memory \n
	+ Card (carte mémoire).
     e	= Sélectionnez un fichier\n
	+ pour continuer sans\n
	+ sauvegarder.
     f	= La Memory Card (carte mémoire)\n
	+ dans le Slot A est endommagée\n
	+ et ne peut être utilisée.
    10	= Il n'y a pas de Memory Card\n
	+ (carte mémoire) dans le Slot A.
    11	= Il n'y a pas assez d'espace libre\n
	+ sur la Memory Card (carte \n
	+ mémoire) dans le Slot A. Pour \n
	+ sauvegarder les données de \n
	+ Super Mario Sunshine, \n
	+ 1 fichier libre et 7 blocs \n
	+ libres sont nécessaires.
    12	= La Memory Card (carte mémoire) \n
	+ dans le Slot A ne contient pas\n
	+ de données pour ce jeu.
    13	= Il n'y a pas assez d'espace libre\n
	+ sur la Memory Card (carte \n
	+ mémoire) dans le Slot A. Pour \n
	+ sauvegarder les données de \n
	+ Super Mario Sunshine, \n
	+ 1 fichier libre et 7 blocs \n
	+ libres sont nécessaires.
    14	= L'objet inséré dans le \n
	+ Slot A n'est pas valide.
    15	= La Memory Card (carte mémoire) \n
	+ dans le Slot A est incompatible\n
	+ avec le jeu Super Mario Sunshine.
    16	= Erreur... La copie a échoué.
    17	= Erreur... Aucun fichier \n
	+ n'a été créé.
    18	= Erreur... L'effacement a échoué.
    19	= Erreur... Le formatage a échoué.
    1a	= Formatage en cours...\n
	+ Ne touchez pas à la Memory\n
	+ Card (carte mémoire), \n
	+ ni au bouton POWER.
    1b	= Nouveau
    1c	= *: choisir            @: modifier     \040
    1d	= Sauvegarde en cours...\n
	+ Ne touchez pas à la Memory\n
	+ Card (carte mémoire),\n
	+ ni au bouton POWER.
    1e	= Choisissez un fichier.
    1f	= Où voulez-vous copier \n
	+ ces données?
    20	= Copie terminée.
    21	= Fichier créé.
    22	= Effacé.
    23	= Formatage terminé

