#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/,1,7]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0xa0000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= S-s-signor Mario!\n
	+ La Principessa!
     1	= Mario! La Principessa\n
	+ è stata portata via,\n
	+ oltre il canale!
     2	= È orribile!\n
	+ La Principessa Peach\n
	+ è stata rapita!
     3	= Mario! La Principessa\n
	+ è da quella parte!\n
	+ Fai presto!
     4	= Oh no!\n
	+ La Principessa Peach\n
	+ è stata rapita!
     5	= Orrore! Orrore!\n
	+ La Principessa Peach!\n
	+ Rapita!
     6	= Ehi, stai battendo\n
	+ la fiacca?!
     7	= Pulisci subito\n
	+ quelle pareti,\n
	+ fannullone!
     8	= Quest'oscurità mi\n
	+ mette proprio\n
	+ tristezza...\n
	+ Sto così male da\n
	+ quando i Soli Custodi\n
	+ sono scomparsi...\n
	+ È tutta colpa tua,\n
	+ e sembra che non ti\n
	+ dispiaccia neppure!
     9	= Essere intrappolati\n
	+ in quella melma è\n
	+ orribile!\n
	+ Però devo ammettere\n
	+ che il gusto non\n
	+ è male...
     a	= È tutta colpa tua se\n
	+ i Soli Custodi se ne\n
	+ sono andati!\n
	+ Guarda com'è \n
	+ diventato nero\n
	+ il cielo!
     b	= Te l'ho già detto:\n
	+ NON SI FANNO\n
	+ OMAGGI!
     c	= Se mangi uno\n
	+ di questi...\n
	+ \n
	+ inizierai a sudare\n
	+ come se avessi\n
	+ scalato una montagna!
     d	= La nostra frutta è\n
	+ dolce e succosa, ma...\n
	+ \n
	+ senza sole non\n
	+ può crescere!\n
	+ \n
	+ Se va avanti così,\n
	+ potremo scordarci\n
	+ le macedonie!\n
	+ Ma che fine avranno\n
	+ fatto i Soli Custodi?!
     e	= Ehi, aspetta\n
	+ un attimo...\n
	+ \n
	+ So che sta per\n
	+ succedere qualcosa\n
	+ di interessante. \n
	+ Sì, ma... dove?!
     f	= Com'è buio! Ma siamo\n
	+ sicuri che sia giorno?\n
	+ \n
	+ Forse il cielo è\n
	+ sempre così grigio\n
	+ in città...
    10	= Ma dov'è il Gran\n
	+ Sole Custode?\n
	+ \n
	+ Nella guida è chiamato\n
	+ il grande occhio che\n
	+ veglia sull'isola!
    11	= Non posso\n
	+ crederci!\n
	+ \n
	+ Qualcuno ha sporcato\n
	+ i muri di questa\n
	+ stupenda città!\n
	+ E poi, cosa diamine \n
	+ significa\n
	+ quella M?!\n
	+ A proposito, non ti\n
	+ ho già visto da\n
	+ queste parti?
    12	= Certo, se il sole\n
	+ tornasse a splendere\n
	+ sarebbe meglio...\n
	+ Ma in fin dei conti, se\n
	+ non m'abbronzo non è\n
	+ la fine del mondo...
    13	= Starai sicuramente\n
	+ per combinare un altro\n
	+ dei tuoi disastri!\n
	+ Lo so che sei un\n
	+ tipo pericoloso...
    14	= Di certo non mi faccio\n
	+ impressionare da un\n
	+ tipo come te!\n
	+ Non ti ha mai detto\n
	+ nessuno che nuoti\n
	+ come uno scoglio?
    15	= E così io nuoterei\n
	+ male? Ma senti\n
	+ chi parla!\n
	+ Lo sanno tutti che\n
	+ affogheresti nella\n
	+ vasca da bagno!
    16	= Finalmente la barca\n
	+ naviga di nuovo!
    17	= Ci vorrà un bel\n
	+ po' per finire\n
	+ le riparazioni...
    18	= Ho fatto naufragio\n
	+ tre anni fa e da allora\n
	+ vivo su quest'isola.\n
	+ Vorrei andarmene, ma\n
	+ non so nuotare.\n
	+ Che tristezza, vero?

#
#------------------------------------------------------------------------------

@SECTION "STR1"

@X   0:   0 64 6f 6c  70 69 63 37  5f 30 31  0  64 6f 6c 70  :.dolpic7_01.dolp:
@X  10:  69 63 37 5f  30 32  0 64  6f 6c 70 69  63 37 5f 30  :ic7_02.dolpic7_0:
@X  20:  33  0 64 6f  6c 70 69 63  37 5f 30 34   0 64 6f 6c  :3.dolpic7_04.dol:
@X  30:  70 69 63 37  5f 30 35  0  64 6f 6c 70  69 63 37 5f  :pic7_05.dolpic7_:
@X  40:  30 36  0 64  6f 6c 70 69  63 37 5f 30  37  0 64 6f  :06.dolpic7_07.do:
@X  50:  6c 70 69 63  37 5f 30 38   0 64 6f 6c  70 69 63 37  :lpic7_08.dolpic7:
@X  60:  5f 30 39  0  64 6f 6c 70  69 63 37 5f  31 30  0 64  :_09.dolpic7_10.d:
@X  70:  6f 6c 70 69  63 37 5f 31  31  0 64 6f  6c 70 69 63  :olpic7_11.dolpic:
@X  80:  37 5f 31 32   0 64 6f 6c  70 69 63 37  5f 31 33  0  :7_12.dolpic7_13.:
@X  90:  64 6f 6c 70  69 63 37 5f  31 34  0 64  6f 6c 70 69  :dolpic7_14.dolpi:
@X  a0:  63 37 5f 31  35  0 64 6f  6c 70 69 63  37 5f 31 36  :c7_15.dolpic7_16:
