#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/1,f,14]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x280000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Toi, là !\n
	+ Je crois qu'on a\n
	+ un problème !\n
	+ Celui-là est plus gros\n
	+ que tous les autres \n
	+ réunis...\n
	+ Il n'y a pas de \n
	+ problème quand il est\n
	+ attaché, mais...\n
	+ une fois libéré, on \n
	+ court au-devant de \n
	+ très gros ennuis.\n
	+ Et la propriétaire ne\n
	+ semble pas pouvoir\n
	+ y faire grand chose.
     1	= C'est moi qui devrais \n
	+ être en colère !\n
	+ Méchant Chomp !\n
	+ Je devrais peut-être\n
	+ aller à la source\n
	+ \n
	+ d'eau chaude pour me\n
	+ calmer...
     2	= J'adoooore le soleil !
     3	= Tous aux abris, si ce \n
	+ gros Chomp déchaîné\n
	+ vient par ici...
     4	= Ne t'inquiète pas !\n
	+ \n
	+ \n
	+ Mon petit chéri ne \n
	+ ferait de mal à\n
	+ personne !
     5	= Haha, tu es\n
	+ plutôt du genre \n
	+ timide toi...\n
     6	= C'est assez \n
	+ mystérieux, mais cette\n
	+ source a le pouvoir\n
	+ de vous calmer\n
	+ l'esprit.
     7	= Les sources d'eau\n
	+ chaude sont parfaites\n
	+ \n
	+ pour détendre\n
	+ les gens stressés.
     8	= La source d'eau \n
	+ chaude Pianta est \n
	+ réputée pour sa \n
	+ chaleur... Fais-moi \n
	+ confiance là-dessus.
     9	= J'ai vu le maire sortir\n
	+ d'ici l'autre jour...
     a	= Tu connais l'eau de la\n
	+ source chaude ?\n
	+ Elle vient de ce \n
	+ grand arbre, et même\n
	+ si elle semble assez\n
	+ sale, je peux t'assurer\n
	+ de sa pureté !\n
	+ Ca nous montre bien\n
	+ l'importance \n
	+ qu'on donne aux \n
	+ apparences...
