#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/45]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x30000
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Mario!!\n
     1	= Oh!
     2	= Leave my Mama alone, you bad man!
     3	= I won't let you take Mama Peach \n
	+ away!
     4	= Mama? \n
	+ \n
     5	= Mama Peach?\040
     6	= I'm your...Mama?\n
     7	= Yeah, Papa told me all about it.
     8	= He told me my Mama got kidnapped\n
	+ by a bad man named Mario...\n
     9	= So, you're Bowser's son...
     a	= So I came here to rescue her!
     b	= So the graffiti...
     c	= that was you?
     d	= This...is my magic brush.
     e	= When I draw with this, \n
	+ all my wishes come true!
     f	= A strange old man in a white coat \n
	+ gave it to me...\n
    10	= A strange old man...in a white \n
	+ coat...?\n
    11	= But why would you pretend to be \n
	+ Mario?\n
    12	= \n
    13	= Papa told me everything. He said \n
	+ "Mario's a bully, he never fights fair!"\n
    14	= He said, "Jr., you gotta try to \n
	+ outsmart Mario."\n
    15	= So I tried to get Mario sent to prison,
    16	= but they didn't lock him up,
    17	= and now he came to steal Mama \n
	+ Peach again!\n
    18	= You...you pest! Stop following us!\n
    19	= No! Mario!\n
    1a	= No! Not again!
    1b	= It appears to be heading toward \n
	+ Corona Mountain!\n

