#BMG

@ENDIAN          = 0
@LEGACY          = 1
@ENCODING        = 1
@BMG-MID         = 0
@INF-SIZE        = 0x0c
@DEFAULT-ATTRIBS = [/2a]
@COLOR-NAMES     = 1
@MKW-MESSAGES    = 1

@UNKNOWN-INF32-0C = 0x100
@UNKNOWN-MID16-0A = 0x1000
@UNKNOWN-MID32-0C = 0


     0	= Ah! Fair gentleman!\n
	+ The casino's this way!\n
	+ Well, actually...\n
	+ I must admit that,\n
	+ unfortunately, the\n
	+ casino's closed today.\n
	+ You see, there are\n
	+ creepy sounds coming\n
	+ from the basement...\n
	+ Could we trick you...\n
	+ I mean, ask for your\n
	+ help? Oh, thank you!
     1	= It's really tough to\n
	+ appreciate the sunset\n
	+ through your noggin.
     2	= This sunset is just\n
	+ about the prettiest\n
	+ thing I've ever seen!
     3	= Do you have any\n
	+ water? Or juice?\n
	+ ...Sigh...
     4	= We might as well just\n
	+ go to our room...
     5	= Oooh, I can feel it!\n
	+ Here comes the beat!\n
	+ Gonna dance all night!\n
	+ Dootie-doot, yeah!
     6	= Yeah, I'm feeling it!\n
	+ What great music!\n
	+ Doot-doot, c'mon!
     7	= I love just sitting\n
	+ and staring out\n
	+ at the gentle sea.\n
	+ All the small details\n
	+ of life just don't seem\n
	+ to matter that much.
     8	= Sorry... No juice...
     9	= You taking a relaxing\n
	+ walk, too? Nice.
     a	= I believe it's about\n
	+ 45 steps from there\n
	+ to there. Yes, I do.
     b	= Is it normal for girls\n
	+ to suddenly run for\n
	+ the ocean? Ohhhh...
     c	= Now, why isn't he\n
	+ chasing me?
     d	= What're ya thinkin'?\n
	+ It's time to go!\n
	+ De doot de doo...\n
	+ Get yourself a clue,\n
	+ can't play no mo'!\n
	+ De doot doot DOO!
     e	= I think I'm going to\n
	+ collapse soon...\n
	+ Doot-doot.
     f	= This is the worst\n
	+ crowd ever...\n
	+ Doot-doot.

