#BMG


     0	= Daisy Cruiser
     1	= 6 Shines, 13 Blues
     2	= I'm so glad I snagged\n
	+ this durian from\n
	+ that snippy lady.\n
	+ It's so big I don't need\n
	+ to pay for meals the\n
	+ whole rest of the trip.
     3	= Aw man, did you have\n
	+ to take my durian?\n
	+ \n
	+ I'm just a little\n
	+ guy, why would\n
	+ you do this...?
     4	= Hey, it came back!\n
	+ It must really love\n
	+ me or something.
     5	= When is he going to\n
	+ come back from\n
	+ his lunch break?\n
	+ There's work to be\n
	+ done, and I ain't\n
	+ doing it alone!
     6	= Don't tell the captain,\n
	+ but I started gluing the\n
	+ tables to the floor.\n
	+ We could barely keep\n
	+ the food on the plates\n
	+ with the boat rocking.
     7	= That meal hit the spot-\n
	+ I'm going to go back\n
	+ and get seconds!\n
	+ Oh, hmm...\n
	+ \n
	+ \n
	+ Well, I guess I'll fix\n
	+ the holes in the cargo\n
	+ bay pipes tomorow.
     8	= Alright Mario, where\n
	+ shall we depart next?
     9	= What a great view of\n
	+ the open sea. Why not\n
	+ take a sec n' enjoy it?
     a	= I've been saving up for\n
	+ this trip for ages.\n
	+ \n
	+ Finally, a time away\n
	+ from the bustle of\n
	+ running the fruit stand.
     b	= Mommy won't let\n
	+ us have ice cream.\n
	+ No fair!
     c	= Come on now kids,\n
	+ no ice cream before\n
	+ going in the pool.
     d	= I want my ice cream\n
	+ now! No fair.
     e	= I wish the other duck\n
	+ ring riders were here\n
	+ swimming with me.\n
	+ The water just isn't the\n
	+ same without them.
     f	= Whoo hoo! No more\n
	+ selling glasses and\n
	+ shirts to tourists-\n
	+ Now I'm living the\n
	+ the good life!
    10	= Give me your \z{7ff,400}Shines\z{7ff,0},\n
	+ and I can get this boat\n
	+ heading to new islands.\n
	+ I only need 10 in total.
    11	= Do you want to head\n
	+ off to a new island?\z{a01,59656168}\z{901,14e616800}
    12	= Off we go!
    13	= Oh well. I'll be here\n
	+ when you need me.
    14	= This doesnt look\n
	+ like nearly enough\n
	+ shine power.\n
	+ Once you collect\n
	+ 10 \z{7ff,400}Shine sprites\z{7ff,0},\n
	+ come and let me know.
    15	= Isn't this lovely?\n
	+ \n
	+ \n
	+ Our friend Daisy has\n
	+ started up her own\n
	+ cruise liner business!\n
	+ We should be sure\n
	+ to send her a thank\n
	+ you gift of our own.
    16	= Well, this vacation is\n
	+ truly in "ship shape",\n
	+ yes yes!\n
	+ Nothing like exploring\n
	+ new cultures and\n
	+ broadening horizons!

