#BMG


     0	= They really should've\n
	+ added an ocean water\n
	+ drain down here.
     1	= It turns out I was\n
	+ waiting for the wrong\n
	+ train. Haha!
     2	= Heya pal!\n
	+ Wanna ride?\n
	+ \n
	+ Don't mind that guy\n
	+ in the corner... he\n
	+ won't bother you.
     3	= ...I suppose you're\n
	+ fine to come and go\n
	+ as you please.
     4	= Big Boss says you get\n
	+ free reign of the hotel\n
	+ now.\n
	+ Pretty high honor.
     5	= Big Boss said you\n
	+ won in the fighting\n
	+ ring.\n
	+ Maybe you can teach\n
	+ me some moves\n
	+ sometime?
     6	= Sorry, all the boats\n
	+ are in service right\n
	+ now.
     7	= That turbo pack lets\n
	+ you move faster than\n
	+ those boats, yeah?\n
	+ Pretty great for\n
	+ running away from\n
	+ people, I bet...
     8	= Huh.\n
	+ \n
	+ \n
	+ Suddenly the guys in\n
	+ suits aren't patrolling\n
	+ as much anymore.\n
	+ What did you do\n
	+ to them?
     9	= I wonder what other\n
	+ wacky places are\n
	+ waiting out there?
     a	= Maybe we'll discover\n
	+ a new island!
     b	= I think I'm indecisive.
     c	= It doesn't have gas in\n
	+ it, honey...
     d	= Whuzzat? When does\n
	+ it get to go?
     e	= Pant pant...\n
	+ \n
	+ \n
	+ N-no!\n
	+ I'm not tired yet!
     f	= I need to stop before\n
	+ I get blisters.
    10	= 16
    11	= 17
    12	= 18
    13	= 19
    14	= 20
    15	= 21
    16	= 22
    17	= 23
    18	= 24
    19	= 25
    1a	= 26
    1b	= 27
    1c	= 28
    1d	= 29
    1e	= 30

