#BMG


     0	= Hey! Some creep\n
	+ broke in here!\n
	+ Get him!!
     1	= Hey guys- check out\n
	+ 'dis guy walkin'\n
	+ in here.
     2	= So, ya think you got\n
	+ the smarts, eh? Think\n
	+ you's tougher than us?
     3	= We oughta knock his\n
	+ skull in. This hotel's\n
	+ ours to control!
     4	= Whaddaya say, Big\n
	+ Boss? Wanna show\n
	+ this guy how?
     5	= Hotel Lacrima belongs\n
	+ to us, the mafia.\n
	+ \n
	+ You'd be wise to\n
	+ remember that, bub!\n
	+ \n
	+ I know your kind.\n
	+ Greedy little blue\n
	+ coin grabber.\n
	+ We control the\n
	+ economy around here,\n
	+ ya hear me?\n
	+ If you think you's so\n
	+ tough, why don'tcha\n
	+ try this on for size?\n
	+ Boys- bring out the\n
	+ Stu Squadron!!
     6	= He beat the Stus!!
     7	= 'Dis guy might actually\n
	+ be pretty tough. We\n
	+ gotta go bigger!
     8	= Hold on, I wanna\n
	+ watch 'dis play out.
     9	= Ha! You think that was\n
	+ tricky? You ain't seen\n
	+ nothing yet!\n
	+ The Stu Senate will\n
	+ teach you not to mess\n
	+ with the Pianta Mafia!!
     a	= 200 says the\n
	+ new guy wins!
     b	= No way- the Stus got\n
	+ this guy in the bag.\n
	+ I raise you 300!
     c	= This guy is mopping\n
	+ the floor with us!\n
	+ \n
	+ Maybe we should\n
	+ leave him alone?
     d	= ...\n
	+ \n
	+ \n
	+ Bah! I have the final\n
	+ say around here!\n
	+ \n
	+ Prepare to face our\n
	+ best fighters- the\n
	+ Stu Syndicate!!
     e	= He did it! All of our\n
	+ trained stus are done\n
	+ for!
     f	= I ain't going in there\n
	+ next. Let him through,\n
	+ boss!
    10	= I like your style,\n
	+ lil' man! You's got a\n
	+ lotta guts!
    11	= ...arghh. I know when\n
	+ I'm beat.\n
	+ \n
	+ Have it your way. You\n
	+ surprised me lil' man.\n
	+ \n
	+ We'll let you explore\n
	+ the hotel as you\n
	+ please.\n
	+ This shine was meant\n
	+ for the arena\n
	+ champion.\n
	+ I guess that's you now.
    12	= Take these... we'll\n
	+ recognize ya from\n
	+ here on out.
    13	= ...I'll admit- a guy\n
	+ could learn a thing\n
	+ or two from ya.
    14	= 20
    15	= 21
    16	= 22
    17	= 23
    18	= 24
    19	= 25
    1a	= 26
    1b	= 27
    1c	= 28
    1d	= 29
    1e	= 30

