#BMG


     0	= test 5\n
	+ NCPMonte A
     1	= Say, do you see the\n
	+ grapevines hanging\n
	+ around the village?\n
	+ They're held up by a\n
	+ mesh net that you\n
	+ can stand on.\n
	+ So if you don't have\n
	+ water, you can still\n
	+ get onto the rooftops.
     2	= The goop's taken care\n
	+ of, but now, that big\n
	+ windmill's in trouble...\z{7ff,400}\z{7ff,0}
     3	= I just want our\n
	+ peaceful village\n
	+ back to normal!
     4	= These Piranhabons\n
	+ suddenly showed\n
	+ up today.\n
	+ They seem to be\n
	+ coming from the\n
	+ windmill ahead.\n
	+ We can't go anywhere\n
	+ if they're just rolling\n
	+ downhill like this...
     5	= Look at this mess!\n
	+ \n
	+ \n
	+ Some stupid plant\n
	+ threw up all over my\n
	+ yard this morning!\n
	+ The kids are tearing\n
	+ up the house, my\n
	+ husband is out today-\n
	+ And here you are,\n
	+ tracking everything\n
	+ all over the place!\n
	+ Now I have to start\n
	+ all over again!\n
	+ \n
	+ Get off my lawn!!
     6	= Say mister...\n
	+ \n
	+ \n
	+ Ya lookin' to avoid\n
	+ the mess down here?\n
	+ I don't blame ya...\n
	+ Ya might try using\n
	+ the tightropes as a\n
	+ shortcut to the top.\n
	+ Just beware of pokeys\n
	+ that have taken root\n
	+ in our rooftops.
     7	= You won't like this,\n
	+ but NO ONE BEYOND\n
	+ THIS POINT!
     8	= \z{600,1}I hate to do this, but\n
	+ I need to use you for\n
	+ a little practice.\n
	+ Hurngyargraar!\z{700,3200} \z{700,0}
     9	= Could you help out\n
	+ with the big-headed\n
	+ creature up there?\n
	+ You're the only one\n
	+ we can ask to lend us\n
	+ a hand.\n
	+ I know it's a pain,\n
	+ but...you think you\n
	+ can handle it?
     a	= Hey, mustache-dude...\n
	+ \n
	+ \n
	+ You think I could\n
	+ borrow that funky\n
	+ squirter of yours?
     b	= Hey, mister, you're\n
	+ all wet from playing in\n
	+ the water! Ha ha ha!
     c	= Sorry to do this,\n
	+ but NO ONE BEYOND\n
	+ THIS POINT!
     d	= Beta Bianco\n
	+ Approx. Feb. 2002\n
	+ 2022\n
	+ Rhythm, Inkstar, Sunn\n
	+ JustGio, Epicwade\n
	+ UncleNate\n

