#BMG


     0	= Hey, Mr. Hero!\n
	+ The Roller Coaster is\n
	+ open for business!
     1	= Boy, I haven't ridden\n
	+ one of these in quite\n
	+ a few years...
     2	= Yeeee-HAAAWWWW!
     3	= Wa-hoooo!
     4	= You know, maybe this\n
	+ isn't such a good\n
	+ idea after all...
     5	= Now, everyone's only\n
	+ interested in the\n
	+ Roller Coaster!
     6	= Waaughh! I bet your\n
	+ eyes just spin back in\n
	+ your head!
     7	= I think you're still too\n
	+ young for this one.\n
	+ Come on, let's go...
     8	= No matter how much I\n
	+ look at it, there's\n
	+ nothing wrong.\n
	+ Nothing wrong...
     9	= Welcome to the Grand\n
	+ Re-opening of the\n
	+ Roller Coaster!\n
	+ We've got a balloon-\n
	+ popping water rocket\n
	+ game going on!\n
	+ Wanna try?\z{901,59657300}\u{14e6f}
     a	= Dad...\n
	+ Are you afraid?
     b	= Please come again!
     c	= You did it!!
     d	= If you can hit all of\n
	+ the balloons with\n
	+ water rockets\n
	+ before the Roller\n
	+ Coaster makes three\n
	+ loops, you win!\n
	+ And then we will\n
	+ give you a prize!\n
	+ Good luck!
     e	= And now, we would\n
	+ like to re-open the\n
	+ Roller Coaster!
     f	= I wanna ride the\n
	+ Roller Coaster, too!
    10	= La la la! Lalalalala!\n
	+ I'm Ducky of the\n
	+ Buckies! Hee hee!\n
	+ The Roller Coaster is\n
	+ now the funnest ever!
    11	= La dee la! Dah dah!\n
	+ I'm Plucky of the\n
	+ Buckies! Ha ha!\n
	+ The Roller Coaster is\n
	+ the best of the best!
    12	= Wah dee dah! Wah!\n
	+ I'm Lucky of the\n
	+ Buckies! Wah ha!\n
	+ The Roller Coaster is\n
	+ the rockingest!
    13	= Tootie! Tootie!\n
	+ Tootle-de-doo!\n
	+ Bop-de-bop doo!

