#BMG


     0	= Shiver me timbers!\n
	+ Avast me hearties!\n
	+ Swash me buckle... uh-\n
	+ Walk me plank?
     1	= I should've brought\n
	+ a shovel.
     2	= Not everyone has\n
	+ deep island history to\n
	+ share, you know.\n
	+ Some of us are just\n
	+ minding our own\n
	+ business.
     3	= Is the captain even\n
	+ coming? Am I safe\n
	+ here?
     4	= So how was your day?
     5	= They're not even\n
	+ anchored to the\n
	+ ocean floor!
     6	= Did you find anything\n
	+ inside the submarine?\n
	+ \n
	+ ...\n
	+ \n
	+ \n
	+ ...Come again?
     7	= I think we need to\n
	+ take a break.
     8	= My body feels\n
	+ like lead. I wanna go\n
	+ home so bad.
     9	= Wait a minute... am I\n
	+ useless after all??
     a	= A giant eel in a\n
	+ sunken shipwreck?\n
	+ Was it a moray?
     b	= I wonder how much\n
	+ data these things\n
	+ can even store?
     c	= I want to take a nap,\n
	+ but it's too noisy!
     d	= Oh great- there are\n
	+ stus now too?
     e	= 14
     f	= Hey, someone finally\n
	+ found me!\n
	+ \n
	+ I'm looking at this\n
	+ old treasure map\n
	+ that was lost in here.\n
	+ I think there's a\n
	+ lost treasure picture\n
	+ out there somewhere!\n
	+ All I can gather is\n
	+ that it was hidden\n
	+ in the sand...\n
	+ If you go searching,\n
	+ I wish you luck!
    10	= 16
    11	= 17
    12	= 18
    13	= 19
    14	= 20
    15	= 21
    16	= 22
    17	= 23
    18	= Ten-hut, soldier!\n
	+ You're needed for\n
	+ another assignment!\n
	+ This tank used to be\n
	+ filled with amphibious\n
	+ breeds of stu.\n
	+ But they managed to\n
	+ escape, and are on\n
	+ the loose!
    19	= They've begun to\n
	+ mutate from the\n
	+ environment exposure.\n
	+ Give 'em a good stomp\n
	+ to subdue 'em so we\n
	+ can lock 'em up again.\n
	+ Huzzah!
    1a	= Well? Those stus\n
	+ aren't gonna knock\n
	+ themselves out.\n
	+ Oh, well- hm...\n
	+ Maybe they actually\n
	+ would...
    1b	= That'll do it! Thank\n
	+ you for your repeated\n
	+ service!\n
	+ (Not like you had a\n
	+ choice in the matter...)
    1c	= 28
    1d	= 29
    1e	= 30

